Title,Rank,Votes,Score,"Esoteric
Rank","Esoteric
Score",Source,Episodes,Studio,First Air Date,Last Air Date,Genres,AniListID,TMDbID,IMGID
Aria,27,9,329,1,185.7,Manga,59,Hal Film Maker,2005-10-06,2015-09-26,"Fantasy, Sci-Fi, Slice of Life",477,53787,/ibcQODpXuKQtYWNQEIfOXnxRSqM.jpg
Anne of Green Gables,29,9,309,2,170.9,Novel,26,Nippon Animation,2001-09-02,2002-03-24,"Drama, Slice of Life",283,21205,/nCH5QNZ5JZAze1nUCAGz4eY5Xba.jpg
Magical DoReMi,72,3,138,3,122.7,Original,214,Toei Animation,1999-02-07,2004-12-11,"Comedy, Drama, Mahou Shoujo, Slice of Life",350,20353,/yODQ7MDKMbvc9H7T06CCDTdzgeX.jpg
Mononoke,31,11,290,4,118.3,Original,12,Toei Animation,2007-07-13,2007-09-28,"Fantasy, Horror, Mystery, Psychological, Supernatural",2246,16660,/uA7iEMDg8rXHPx401H1GBy5Fdaa.jpg
Land of the Lustrous,49,9,205,5,106.7,Manga,12,Orange,2017-10-07,2017-12-23,"Action, Drama, Fantasy, Mystery, Psychological",98707,74091,/pUy4Dcb6UstCI64AYqLbdPISkDS.jpg
Heidi: Girl of the Alps,70,4,138,6,102.1,Novel,52,Nippon Animation,1974-01-06,1974-12-29,"Drama, Slice of Life",2225,29452,/lVyCXYC6itDcfr5u4rfsavXtvOS.jpg
Future Boy Conan,52,7,196,7,101.1,Novel,26,Nippon Animation,1978-04-04,1978-10-31,"Adventure, Drama, Sci-Fi",302,19239,/tmlhwdTBA264iQF2Us5vWdKz1fE.jpg
A Place Further Than the Universe,45,8,226,8,97.6,Original,13,MADHOUSE,2018-01-02,2018-03-27,"Adventure, Comedy, Drama",99426,76059,/iERXyBf0K6DfAQ8oKEYrdjf1vIs.jpg
Windy Tales,59,5,164,9,94.4,Original,13,Production I.G,2004-09-11,2005-02-26,"Drama, Fantasy, Slice of Life, Supernatural",1524,35184,/67BALqq9CEg0WDVsXjw1nTnItqd.jpg
Legend of the Galactic Heroes,26,13,331,10,92.4,Novel,110,Artland,1988-12-01,1997-02-01,"Drama, Sci-Fi",820,27660,/j6amUPH88lc7cJf54MKZCf4a9NA.jpg
Hunter x Hunter (2011),25,15,335,11,85.9,Manga,148,MADHOUSE,2011-10-02,2014-09-23,"Action, Adventure, Fantasy",11061,46298,/ucpgmUR1h5Te1BYegKItoPjOeF7.jpg
Mobile Suit Gundam,89,6,116,12,85.2,Original,3,Sunrise,1997-01-25,1997-07-25,"Drama, Mecha, Sci-Fi",80,42667,/4F9Ona4T6LEo5ZPgOHmPubvnnlD.jpg
Kyousougiga,40,9,246,13,85,Original,12,Toei Animation,2012-08-31,2012-12-22,"Action, Fantasy, Supernatural",10893,54574,/22BpqmMl2Nom2AayXJ3uvMR1vC9.jpg
Ashita no Joe,42,8,238,14,83.7,Manga,126,Mushi Productions,1970-04-01,1981-08-31,"Action, Drama, Slice of Life, Sports",2402,25117,/b7xpXIT5imM3G92Asshnobt8VNi.jpg
Ghost in the Shell: Stand Alone Complex,56,9,182,15,75.4,Manga,52,Production I.G,2002-10-01,2005-01-08,"Action, Sci-Fi",467,1095,/kmFw6PwdQzmMBIma1f3HbyXSD1H.jpg
Texhnolyze,19,14,382,16,74,Original,22,MADHOUSE,2003-04-17,2003-09-25,"Action, Drama, Psychological, Sci-Fi",26,8838,/oUE17mULuTiNFrfAIFUCH0wK6BO.jpg
Hidamari Sketch,68,6,143,17,73.3,Manga,51,Shaft,2007-01-12,2013-01-04,"Comedy, Slice of Life",1852,45893,/5kxpIAl7Ow5Pw9xMhnp67tFcNlD.jpg
Laid-Back Camp,84,6,118,18,72.7,Manga,25,C-Station,2018-01-04,2021-04-01,"Comedy, Slice of Life",98444,76075,/fsTqmos9zikrNJfP0uwFsmuZOh.jpg
Dennou Coil,75,6,134,19,72.3,Original,26,MADHOUSE,2007-05-12,2007-12-01,"Adventure, Comedy, Drama, Mystery, Sci-Fi",2164,13265,/mrNWHDSem2e5wVNIJqHoQe7eYK4.jpg
His and Her Circumstances,44,9,227,20,70.7,Manga,26,Gainax,1998-10-02,1999-03-26,"Comedy, Drama, Romance, Slice of Life",145,36837,/ys1VsQYMNMlQIKt3eCx2DWUZcxW.jpg
Monster,38,13,249,21,69.1,Manga,74,MADHOUSE,2004-04-06,2005-09-27,"Drama, Horror, Mystery, Psychological, Thriller",19,30981,/7ZhHyA0IIQOyz1hzCXpTilXg4Q2.jpg
Clannad,53,11,195,22,67.8,Visual Novel,44,Kyoto Animation,2007-10-05,2009-03-13,"Comedy, Drama, Romance, Slice of Life, Supernatural",2167,24835,/wozB1SJqunJQguLCfiYNpQh19FR.jpg
From the New World,22,15,354,23,67.4,Novel,25,A-1 Pictures,2012-09-29,2013-03-23,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",13125,53052,/ywghUXAMWJ2uY43bPUgRCPnusJF.jpg
The Vision of Escaflowne,105,4,93,24,66.9,Original,26,Sunrise,1996-04-02,1996-09-24,"Adventure, Fantasy, Mecha, Romance",182,8779,/6uX0Q7Sn9JYWbHqQ5ZRJoJKcTmp.jpg
Fullmetal Alchemist,87,5,117,25,66.7,Manga,64,bones,2009-04-05,2010-07-04,"Action, Adventure, Comedy, Drama, Fantasy",121,31911,/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg
Lucky Star,54,11,188,26,66.2,Manga,24,Kyoto Animation,2007-04-08,2007-09-16,"Comedy, Slice of Life",1887,42500,/dk7LbdxOHiQZVOQBLSoIVZl2jnx.jpg
March Comes in Like a Lion,11,16,464,27,65.5,Manga,44,Shaft,2016-10-08,2018-03-31,"Drama, Slice of Life",21366,65336,/z7XceZ0n0f032yaq8R2zSimsjVl.jpg
Azumanga Daioh,39,13,246,28,64.6,Manga,26,J.C. Staff,2002-04-08,2002-09-30,"Comedy, Slice of Life",66,12143,/j6uCwt9EvK4a2jiFdFMGfNEGdq6.jpg
Kino's Journey,36,13,263,29,62.9,Light Novel,12,A.C.G.T.,2017-10-06,2017-12-22,"Action, Adventure, Psychological, Slice of Life",486,74097,/nfHnr1rS278EyNwvG32BZ3oWPdX.jpg
Yuri Kuma Arashi,62,6,155,30,62.6,Original,12,SILVER LINK.,2015-01-05,2015-03-30,"Drama, Fantasy, Psychological, Romance",20827,68642,/5iR56K02oa9RDZZaDmwnNasewsS.jpg
Rose of Versailles,41,12,243,31,61.7,Manga,40,Tokyo Movie Shinsha,1979-10-10,1980-09-03,"Adventure, Drama, Romance",338,32676,/xCngKb1ZGMTSympkswtotgqyYvy.jpg
Your Lie In April,96,5,101,32,60.3,Manga,22,A-1 Pictures,2014-10-10,2015-03-20,"Drama, Music, Romance, Slice of Life",20665,61663,/IGbeFv5Ji4W0x530JcSHiQpamY.jpg
Baccano!,32,13,288,33,59.8,Light Novel,13,Brain's Base,2007-07-27,2007-11-02,"Action, Adventure, Mystery, Supernatural",2251,34121,/qOxUTQAOTrMKTHuC9HQZiVsTK0F.jpg
Princess Tutu,47,7,210,33,59.8,Original,38,Hal Film Maker,2002-08-16,2003-05-23,"Drama, Fantasy, Mahou Shoujo, Mystery, Psychological, Romance",721,34132,/lXPCfdHq3GQxLqTBIQ9QtRZSftS.jpg
Samurai Champloo,43,13,232,35,59.6,Original,26,Manglobe,2004-05-20,2005-03-19,"Action, Adventure, Comedy",205,1063,/lYpHeSm7BcUxAbBx1ucuEH7oGAe.jpg
Space Patrol Luluco,104,4,97,36,59.2,Original,13,Trigger,2016-04-01,2016-06-24,"Action, Adventure, Comedy, Romance, Sci-Fi",21637,66107,/bbtLVjV2ELZZjOA2ZruoozhL3rx.jpg
Natsume's Book of Friends,77,6,128,37,58.9,Manga,78,Brain's Base,2008-07-08,2017-07-04,"Drama, Fantasy, Slice of Life, Supernatural",4081,69500,/5AxA0foArb9OeETtibhEQ84doBd.jpg
Excel Saga,139,3,64,38,58.1,Manga,26,J.C. Staff,1999-10-07,2000-03-30,"Comedy, Sci-Fi",379,9519,/hsDcuUPsbAmx6vLYWw0WQaMWska.jpg
Mr. Osomatsu,112,3,85,39,57.4,Original,75,Studio Pierrot,2015-10-05,2021-03-29,"Comedy, Slice of Life",21261,71785,/vEsmh6m9fUhJzGfLxUpliT3vqdh.jpg
JoJo's Bizarre Adventure (2012),58,13,170,40,56.8,Manga,152,APPP,2012-10-06,2019-07-28,"Action, Adventure, Drama, Horror, Supernatural",665,45790,/ogAWwbh3frWtiTyyXrZaVFtqCgp.jpg
Girls' Last Tour,34,12,274,41,56.6,Manga,12,White Fox,2017-10-06,2017-12-22,"Adventure, Sci-Fi, Slice of Life",99420,74185,/5vu36r4OhXqugwp7NH9JohmN4Av.jpg
Sound! Euphonium,66,7,145,42,56.1,Novel,26,Kyoto Animation,2015-04-08,2016-12-29,"Drama, Music, Slice of Life",20912,62564,/l0hKrx6PjQRrHiMzK2Fanen2xbL.jpg
"Remi, the Nobody's Boy",100,3,99,43,56,Novel,51,TMS Entertainment,1977-10-02,1978-10-01,"Adventure, Drama, Slice of Life",2828,44725,/vWPWVexfLDWU9vszZJVKtcgyuiL.jpg
One Punch Man,63,11,150,44,55.1,Manga,24,MADHOUSE,2015-10-05,2019-07-03,"Action, Comedy, Sci-Fi, Supernatural",21087,63926,/iE3s0lG5QVdEHOEZnoAxjmMtvne.jpg
Devilman: Crybaby,50,10,203,45,55,Manga,10,Science SARU,2018-01-05,2018-01-05,"Action, Drama, Horror, Psychological, Supernatural",98460,75208,/lNXoTtfBlgijQ9pfZCwisYkPiTc.jpg
Gosenzo-sama Banbanzai!,88,3,117,46,54.5,Original,6,Studio Pierrot,1989-08-05,1990-01-25,"Comedy, Sci-Fi",4639,113157,/OFJET0TWYuSwNTaQ42n8QvwrsZ.jpg
Kaiji,65,10,145,47,54.2,Manga,52,MADHOUSE,2007-10-03,2011-10-10,"Psychological, Thriller",10271,42951,/hKTG76a11adML9ecbJt07D3jH8i.jpg
Giant Robo,91,6,106,48,53.7,,7,A.C.G.T.,1992-07-23,1998-01-25,"Adventure, Mecha, Sci-Fi",3146,69212,/o6RAeajCWAw9BOCDuCZ2Ib1qSD.jpg
Great Teacher Onizuka,55,11,186,49,53.2,Manga,43,Studio Pierrot,1999-06-30,2000-09-17,"Comedy, Drama, Slice of Life",245,43017,/4rEvetd3kANyGSgXPF235kG0COW.jpg
Kaiba,21,15,372,50,52.5,Original,12,MADHOUSE,2008-04-11,2008-07-25,"Adventure, Mystery, Psychological, Romance, Sci-Fi",3701,34747,/7rq1AFb5SO9j1hlS0SuThLcBBVM.jpg
Trapeze,48,10,206,51,51.2,Other,11,Toei Animation,2009-10-16,2009-12-25,"Comedy, Drama, Psychological",6774,42954,/g2ywT0f5CBQGAetctsTz1nWKqMm.jpg
Fate/Zero,64,8,150,52,50.8,Light Novel,25,ufotable,2011-10-02,2012-06-24,"Action, Drama, Fantasy, Supernatural",10087,45845,/tWkVxWvF8aNGbo1S1Chgu5LCJWq.jpg
Death Note,51,13,202,53,50.5,Manga,37,MADHOUSE,2006-10-04,2007-06-27,"Mystery, Psychological, Supernatural, Thriller",1535,13916,/iigTJJskR1PcjjXqxdyJwVB3BoU.jpg
Code Geass,28,15,320,54,50.4,Original,50,Sunrise,2006-10-05,2008-09-28,"Action, Drama, Mecha, Sci-Fi, Thriller",126830,31724,/8p3HXHOQXjMpU9gAkZVAqozhDzQ.jpg
Turn A Gundam,144,3,61,55,50.3,Original,50,Sunrise,1999-04-09,2000-04-14,"Action, Adventure, Drama, Mecha, Sci-Fi",95,37546,/yTpqQNk5sH3ouKsAh3rZBlROckU.jpg
Death Frenzy,167,1,49,56,49.5,Manga,12,MADHOUSE,2007-07-19,2007-10-11,"Action, Drama",2216,34144,/me1yCtPZAC6kEW1IGWW7XxJASCt.jpg
Berserk,37,15,250,57,48.9,Manga,25,OLM,1997-10-08,1998-04-01,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",33,35935,/iHTSIrdMvaXM4eOFPo6SvAoxZZh.jpg
Urusei Yatsura,85,4,118,58,48.7,Manga,195,Studio Pierrot,1981-10-14,1986-03-19,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",1293,34163,/n8jrIn1inNj50fivueYfG6Gjsto.jpg
Attack on Titan,86,10,117,59,47.4,Manga,76,Wit Studio,2013-04-07,2021-03-29,"Action, Drama, Fantasy, Mystery",16498,1429,/aiy35Evcofzl7hASZZvsFgltHTX.jpg
Hajime No Ippo,109,4,91,60,47.3,Manga,126,MADHOUSE,2000-10-03,2014-03-29,"Comedy, Drama, Sports",19647,42705,/i3U3J2MWovIBZBnZYYiOLBXqNJZ.jpg
Nana,115,4,83,61,47.2,Manga,47,MADHOUSE,2006-04-05,2007-03-28,"Comedy, Drama, Music, Romance, Slice of Life",877,56568,/aqdwwMbM3dczEPHrbPnkIY1bGLI.jpg
Nadia,130,3,68,62,47.1,Original,39,Gainax,1990-04-13,1991-04-12,"Adventure, Comedy, Romance, Sci-Fi",1251,24710,/87HKbb3GJ94b7Vb9bwGQOE9l9l4.jpg
Non Non Biyori,61,10,155,63,46.4,Manga,36,SILVER LINK.,2013-10-07,2021-03-29,"Comedy, Slice of Life",17549,66875,/uEFfrd2xBV2XEGkbNtMrHgLXFM1.jpg
Katanagatari,74,7,136,64,46.3,Light Novel,12,White Fox,2010-01-25,2010-12-11,"Action, Adventure, Romance",6594,46374,/1CINVja7GUEDna1lZDPRgxlsrm9.jpg
Revue Starlight,102,5,98,64,46.3,Original,12,Kinema Citrus,2018-07-13,2018-09-28,"Action, Drama, Music, Psychological",98658,80834,/5Zon3fpEaTS2kJuCfbjdIQnnvrR.jpg
Honey and Clover,107,6,92,66,46.2,Manga,36,J.C. Staff,2005-04-14,2006-09-14,"Comedy, Drama, Romance, Slice of Life",16,35415,/r9BlrgxYUjouB1ybDBYoJbPezs7.jpg
Gilgamesh,170,1,47,67,45.7,Manga,26,Group TAC,2003-10-02,2004-03-25,"Drama, Fantasy, Sci-Fi",385,26107,/ub3XhOLioxmxcCRwCf35SGdOlg9.jpg
Planetes,83,7,120,69,45.3,Manga,26,Sunrise,2003-10-04,2004-04-17,"Drama, Romance, Sci-Fi, Slice of Life",329,34102,/cwC8cLZv8Q7BzOPhy11QpOU5J9x.jpg
Tamako Market,152,3,57,70,45.2,Original,12,Kyoto Animation,2013-01-10,2013-03-28,"Comedy, Slice of Life",16417,48561,/chxENbRzjXqA9xJ36EaZFnFqyzE.jpg
Fullmetal Alchemist: Brotherhood,17,20,422,71,45.1,Manga,64,bones,2009-04-05,2010-07-04,"Action, Adventure, Drama, Fantasy",5114,31911,/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg
Penguindrum,20,18,378,71,45.1,Original,24,Brain's Base,2011-07-03,2011-12-23,"Drama, Mystery, Psychological, Supernatural",10721,39657,/qXhVdZpGeXi98Nwmu0F3WzrxKid.jpg
Mushishi,8,20,526,73,44.8,Manga,46,Artland,2005-10-23,2014-12-21,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",457,26867,/ianYYQaLkksLGCfeisFNYJE7jIO.jpg
A Dog of Flanders,177,1,44,74,44,Other,52,Nippon Animation,1975-01-05,1975-12-28,"Drama, Slice of Life",2553,45657,/pgEUQ69pbSTAnOejwFkz7rXo1sC.jpg
Blood Blockade Battlefront,70,4,138,75,43.7,Manga,24,bones,2015-04-05,2017-12-24,"Action, Comedy, Supernatural",20727,62327,/1IKNrWEqu2cpOmSpwHqaCbnbIzE.jpg
Wandering Son,92,5,106,76,43.5,Manga,11,AIC,2011-01-14,2011-04-01,"Drama, Romance, Slice of Life",8426,43926,/eh46V76Xn0aVJvc9i7l3ELSCQg1.jpg
Yuyushiki,135,4,65,77,43.3,Manga,12,Kinema Citrus,2013-04-09,2013-06-25,"Comedy, Slice of Life",15911,52890,/fqiDH1cb3vCnz2FUcRHtOEQjFRi.jpg
Touch,175,1,46,78,42.6,Manga,,Studio Gallop,,,"Drama, Romance, Slice of Life, Sports",1065,,
Kill La Kill,35,16,268,79,41.9,Original,24,Trigger,2013-10-04,2014-03-28,"Action, Comedy, Ecchi",18679,60728,/4F1WtP3dFIwLPOfa3u29VEVnNkf.jpg
Black Lagoon,118,5,78,80,41.8,Manga,24,MADHOUSE,2006-04-09,2006-12-20,"Action, Adventure, Drama, Thriller",889,12598,/rk2fTjYgpcN6LEALEO0aKTh9y9S.jpg
Trigun,78,10,127,81,41.1,Manga,26,MADHOUSE,1998-04-02,1998-10-01,"Action, Adventure, Comedy, Drama, Sci-Fi",6,26453,/q7ErceKdCrAy7JIZg0e1KpD95ra.jpg
Gankutsuou,67,7,144,82,40.3,Novel,24,GONZO,2004-10-06,2005-03-30,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",239,9543,/eAatnAycra30LroeMmVSGgrum73.jpg
Bunny Drop,101,8,98,83,39.2,Manga,11,Production I.G,2011-07-08,2011-09-16,Slice of Life,10162,45213,/nMeOuxeY1Djly3xIFoam2H5tU0Q.jpg
Zegapain,176,1,45,84,39,Original,26,Sunrise,2006-04-06,2006-09-28,"Action, Mecha, Romance, Sci-Fi",878,34735,/b3uaZ9fqpw70oPcJEXrIa4uCgqG.jpg
